      C01      C02      C03      C04      C05      C06      C07      C08      C09      C10      C11      C12      C13      C14      C31      C32      C33      C34                                                                                                                                                                                                                                              
  46.0316  41.4353  55.9078  30.3441  20.8011        0  67.6795  77.7015        0  83.4985        0        0  55.1453        0  70.8235  74.8430        0        0                                                                                                                                                                                                                                              
  46.0298  41.4385  55.9085  30.3437  20.8041        0  67.6023  77.6365        0  83.4896        0        0  55.1701        0  70.9057  74.7224        0        0                                                                                                                                                                                                                                              
  46.0279  41.4417  55.9093  30.3434  20.8070        0  67.5248  77.5711        0  83.4789        0        0  55.1946        0  70.9880  74.6017        0        0                                                                                                                                                                                                                                              
  46.0260  41.4449  55.9101  30.3430  20.8100        0  67.4469  77.5054        0  83.4661        0        0  55.2188        0  71.0704  74.4809        0        0                                                                                                                                                                                                                                              
  46.0242  41.4481  55.9108  30.3427  20.8130        0  67.3686  77.4392        0  83.4513        0        0  55.2426        0  71.1530  74.3598        0        0                                                                                                                                                                                                                                              
  46.0223  41.4513  55.9115  30.3423  20.8159        0  67.2900  77.3727        0  83.4346        0        0  55.2662        0  71.2358  74.2386        0        0                                                                                                                                                                                                                                              
  46.0204  41.4544  55.9123  30.3419  20.8189        0  67.2110  77.3058        0  83.4159        0        0  55.2894        0  71.3187  74.1173        0        0                                                                                                                                                                                                                                              
  46.0185  41.4576  55.9130  30.3416  20.8219        0  67.1316  77.2385        0  83.3953        0        0  55.3122        0  71.4018  73.9958        0        0                                                                                                                                                                                                                                              
  46.0166  41.4608  55.9137  30.3412  20.8248        0  67.0518  77.1709        0  83.3727        0        0  55.3348        0  71.4851  73.8741        0        0                                                                                                                                                                                                                                              
  46.0147  41.4640  55.9144  30.3408  20.8278        0  66.9717  77.1030        0  83.3481        0        0  55.3570        0  71.5685  73.7522        0        0                                                                                                                                                                                                                                              
  46.0128  41.4672  55.9151  30.3404  20.8308        0  66.8912  77.0347        0  83.3216        0        0  55.3789        0  71.6521  73.6302        0        0                                                                                                                                                                                                                                              
  46.0109  41.4704  55.9158  30.3400  20.8337        0  66.8103  76.9660        0  83.2933        0        0  55.4005        0  71.7358  73.5081        0        0                                                                                                                                                                                                                                              
  46.0090  41.4736  55.9165  30.3397  20.8367        0  66.7291  76.8971        0  83.2630        0        0  55.4218        0  71.8197  73.3858        0        0                                                                                                                                                                                                                                              
  46.0071  41.4768  55.9172  30.3393  20.8397        0  66.6476  76.8279        0  83.2309        0        0  55.4427        0  71.9038  73.2633        0        0                                                                                                                                                                                                                                              
  46.0052  41.4799  55.9179  30.3389  20.8426        0  66.5656  76.7583        0  83.1970        0        0  55.4633        0  71.9880  73.1407        0        0                                                                                                                                                                                                                                              
  46.0033  41.4831  55.9186  30.3385  20.8456        0  66.4834  76.6885        0  83.1612        0        0  55.4836        0  72.0723  73.0180        0        0                                                                                                                                                                                                                                              
  46.0014  41.4863  55.9192  30.3381  20.8486        0  66.4008  76.6184        0  83.1236        0        0  55.5036        0  72.1569  72.8951        0        0                                                                                                                                                                                                                                              
  45.9994  41.4895  55.9199  30.3377  20.8515        0  66.3178  76.5480        0  83.0842        0        0  55.5232        0  72.2415  72.7720        0        0                                                                                                                                                                                                                                              
  45.9975  41.4927  55.9205  30.3373  20.8545        0  66.2345  76.4774        0  83.0431        0        0  55.5426        0  72.3264  72.6489        0        0                                                                                                                                                                                                                                              
  45.9956  41.4959  55.9211  30.3369  20.8575        0  66.1509  76.4065        0  83.0003        0        0  55.5616        0  72.4114  72.5256        0        0                                                                                                                                                                                                                                              
  45.9936  41.4991  55.9218  30.3365  20.8604        0  66.0669  76.3354        0  82.9557        0        0  55.5803        0  72.4965  72.4021        0        0                                                                                                                                                                                                                                              
  45.9917  41.5023  55.9224  30.3361  20.8634        0  65.9826  76.2641        0  82.9095        0        0  55.5987        0  72.5818  72.2786        0        0                                                                                                                                                                                                                                              
  45.9897  41.5054  55.9230  30.3357  20.8664        0  65.8980  76.1925        0  82.8616        0        0  55.6168        0  72.6672  72.1549        0        0                                                                                                                                                                                                                                              
  45.9877  41.5086  55.9236  30.3352  20.8693        0  65.8130  76.1207        0  82.8121        0        0  55.6345        0  72.7528  72.0311        0        0                                                                                                                                                                                                                                              
  45.9858  41.5118  55.9242  30.3348  20.8723        0  65.7278  76.0487        0  82.7610        0        0  55.6520        0  72.8385  71.9071        0        0                                                                                                                                                                                                                                              
